date,f107_now,carrington_rotation,monthly_f107,sma_13_past,slope_12m,volatility_13m,cycle_state_falling,cycle_state_plateau,cycle_state_rising,activity_level_high,activity_level_low,activity_level_medium,volatility_state_high,volatility_state_normal
1947-08-24,155.8,1256.8949499999999,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-25,156.6,1256.9317,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-26,179.3,1256.9684,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-27,190.2,1257.0051,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-28,199.7,1257.0418,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-29,213.7,1257.0785,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-30,248.7,1257.1152,221.2741935483871,,,,0,1,0,0,0,1,0,1
1947-08-31,253.83333333333334,1257.1519,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-01,258.9666666666667,1257.1886,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-02,264.1,1257.2253,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-03,238.6,1257.262,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-04,235.5,1257.2987,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-05,231.0,1257.3354,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-06,235.2,1257.372,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-07,234.25,1257.4087,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-08,233.3,1257.4454,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-09,222.5,1257.4821,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-10,230.4,1257.5188,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-11,187.5,1257.5555,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-12,183.5,1257.5921,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-13,200.8,1257.6288,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-14,185.35000000000002,1257.6655,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-15,169.9,1257.7022,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-16,161.1,1257.7389,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-17,159.7,1257.7755,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-18,161.3,1257.8122,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-19,157.8,1257.8489,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-20,148.4,1257.8855,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-21,152.75,1257.9222,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-22,157.1,1257.9589,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-23,184.8,1257.9955,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-24,219.5,1258.0322,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-25,219.4,1258.0689,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-26,209.2,1258.1055,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-27,201.8,1258.1422,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-28,203.60000000000002,1258.17885,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-29,205.4,1258.2155,237.42204301075267,,,,0,1,0,0,0,1,0,1
1947-09-30,228.7,1258.2521,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-01,204.5,1258.2888,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-02,227.1,1258.32545,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-03,249.7,1258.3621,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-04,271.7,1258.3987,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-05,254.89999999999998,1258.43535,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-06,238.1,1258.472,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-07,243.0,1258.5086,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-08,236.3,1258.5453,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-09,226.7,1258.5819,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-10,212.8,1258.6186,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-11,202.2,1258.6552,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-12,195.4,1258.6918,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-13,177.60000000000002,1258.72845,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-14,159.8,1258.7651,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-15,151.3,1258.8018,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-16,161.0,1258.8384,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-17,167.5,1258.875,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-18,151.0,1258.9117,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-19,171.3,1258.9483,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-20,191.6,1258.9849,202.7138888888889,,,,0,1,0,0,0,1,0,1
1947-10-21,191.0,1259.0216,202.7138888888889,,,,0,1,0,0,0,1,0,1
